,account_value,date,daily_return,datadate
75,929781.8842984132,2022-04-21,-0.013387442073354,2022-04-21
76,897863.3932563524,2022-04-22,-0.0343290093957312,2022-04-22
77,903303.5581454972,2022-04-25,0.0060590117940042,2022-04-25
78,879833.97861242,2022-04-26,-0.0259819407567272,2022-04-26
79,888982.2101040467,2022-04-27,0.0103976792372286,2022-04-27
80,906728.5804808624,2022-04-28,0.0199625708761244,2022-04-28
81,880643.2076323176,2022-04-29,-0.0287686672837765,2022-04-29
82,881935.0254385576,2022-05-02,0.0014669025946536,2022-05-02
83,882361.1638278322,2022-05-03,0.0004831856962055,2022-05-03
84,905992.4473630686,2022-05-04,0.0267818717595409,2022-05-04
85,878722.6992816019,2022-05-05,-0.030099310607761,2022-05-05
86,874258.5044044657,2022-05-06,-0.0050803227011045,2022-05-06
87,858043.9180691424,2022-05-09,-0.0185466726987899,2022-05-09
88,854533.2577542353,2022-05-10,-0.0040914692604629,2022-05-10
89,853540.5032613191,2022-05-11,-0.0011617505625529,2022-05-11
90,851604.8456001177,2022-05-12,-0.002267798251876,2022-05-12
91,861328.2685286951,2022-05-13,0.0114177637419681,2022-05-13
92,865075.817889596,2022-05-16,0.0043508955851436,2022-05-16
93,875282.4710115137,2022-05-17,0.0117985648319445,2022-05-17
94,874407.1931639948,2022-05-18,-0.0009999947177137,2022-05-18
