date,ensemble,dji
2023-09-26,906110.3458407292,918923.7409611058
2023-09-27,905957.0034220584,917048.4022945245
2023-09-28,914608.2326434024,920221.0174812016
2023-09-29,905076.4074786076,915879.3586222176
2023-10-02,905914.6625101932,913852.6176424269
2023-10-03,893565.028000153,902072.5994378468
2023-10-04,902368.3249476324,905548.6598813232
2023-10-05,906056.0113985904,905275.8581110479
2023-10-06,916353.1685664334,913148.1377675633
2023-10-09,922420.6384973188,918534.7715485372
2023-10-10,922626.6923468022,922215.2998550574
2023-10-11,939921.3293663448,924007.5701156604
2023-10-12,943018.832535748,919258.8974217296
2023-10-13,950313.3093343166,920328.9637002811
2023-10-16,955226.3509711385,928918.5358392659
2023-10-17,951615.7381680226,929276.8617653104
2023-10-18,946271.3039025806,920186.5302123957
2023-10-19,936371.6547401508,913328.368447886
2023-10-20,932536.806121716,905486.6255061647
2023-10-23,922486.801822552,900269.4384607788
2023-10-24,930678.2285460324,905871.9646799117
2023-10-25,928896.136451611,902989.661827238
2023-10-26,923157.3170889706,896111.7472926693
2023-10-27,906202.483753094,886088.230819126
2023-10-30,913695.325450787,900065.8247715753
2023-10-31,907184.5690916866,903452.7308204606
2023-11-01,914933.4134825558,909512.7739028538
2023-11-02,927839.4000624508,924942.5701557
2023-11-03,930270.6298636288,931017.2409651097
2023-11-06,936565.9626387449,931961.3166022033
2023-11-07,936877.23550404,933512.2827528955
2023-11-08,938894.65095509,932409.8646401392
2023-11-09,923958.6217268796,926387.5119784535
2023-11-10,931530.0570830196,937079.3127103737
2023-11-13,932688.4661940426,938576.3591373912
2023-11-14,937289.4154623837,951965.10699862
2023-11-15,941223.4798430294,956434.4648467426
2023-11-16,934062.81111134,955184.1678878684
2023-11-17,933128.76081794,955233.709970611
2023-11-20,933160.3901361774,960803.1369534289
2023-11-21,932903.3217996904,959087.9558819212
2023-11-22,937417.9385653154,964137.6180828603
2023-11-24,941071.2166736986,967338.8480931903
2023-11-27,939277.3991726304,965789.5902901789
2023-11-28,938835.890421715,968072.2631068972
2023-11-29,939470.3989666369,968439.6646299958
2023-11-30,951376.8978603748,982665.9299417293
2023-12-01,958980.2250965502,990718.6538220275
2023-12-04,960726.0042026904,989596.3761674821
2023-12-05,956513.2712963488,987412.8942879793
2023-12-06,956126.6518238452,985496.0214184091
2023-12-07,957027.6936901476,987216.6478481492
2023-12-08,958838.1933582688,990783.4642621673
2023-12-11,963440.6225117112,995076.4352122488
2023-12-12,967100.9597729112,999805.4619078507
2023-12-13,981484.3909595872,1013808.3607603215
2023-12-14,984130.9640491868,1018130.1600775163
2023-12-15,980424.3294628528,1019682.9413476194
2023-12-18,980517.493521538,1019706.4311282302
2023-12-19,986852.5276096727,1026591.8196839023
2023-12-20,974701.653502312,1013583.1791816481
2023-12-21,982401.1889675524,1022394.1958887546
2023-12-22,980914.5190609362,1021891.7281271438
2023-12-26,985651.4027851488,1026247.5876262243
2023-12-27,989904.7454937364,1029286.84492207
2023-12-28,992587.6296795276,1030751.4327431526
2023-12-29,993043.3194454575,1030189.3863561744
2024-01-02,1000208.5689266588,1030886.3922099345
2024-01-03,994473.0767162706,1023100.4908830288
2024-01-04,996906.0401600268,1023377.8838376964
2024-01-05,994387.9687870408,1024082.2569408299
2024-01-08,1000332.4463528368,1030010.9707952625
2024-01-09,996634.2234043658,1025696.325183981
2024-01-10,997063.9186433108,1030358.6195483021
2024-01-11,996438.8652877124,1030776.5240997142
2024-01-12,989296.7258338244,1027550.0959610924
2024-01-16,987775.8561190874,1021212.5531523019
2024-01-17,981602.133016518,1018630.9194914462
2024-01-18,984127.2673854145,1024150.5908480613
2024-01-19,993955.5302962572,1034952.5800053921
2024-01-22,1003268.5767668992,1038724.8252280244
2024-01-23,998435.434186867,1036090.9801911749
2024-01-24,996971.8367480548,1033383.3558888612
2024-01-25,1002887.122228554,1040018.2579658383
2024-01-26,1000774.8154086382,1041666.4931626054
2024-01-29,1009854.8497447284,1047789.7451091876
2024-01-30,1017564.5045890124,1051448.5987545077
2024-01-31,1010175.7658232958,1042783.6457741085
2024-02-01,1015536.1250342638,1052884.4649802072
2024-02-02,1023779.1106395036,1056563.0713955867
